post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
187047792.bloodbath-and-beyond-the-red-wedding,2026-02-06T03:49:13.861Z,true,2026-02-06T03:49:14.078Z,2026-02-06T03:49:14.078Z,newsletter,everyone,Bloodbath & Beyond the Red Wedding For Growth Stocks,"Value held the line, but Growth got gutted. Here’s how to stop the bleeding, trade against your own book, and use ""rock bottom"" to build resilience.",
186522448.the-dash-to-cash,2026-02-01T18:51:50.047Z,true,2026-02-01T18:51:50.235Z,2026-02-01T18:51:50.235Z,newsletter,only_paid,The Dash To Cash,What's Even Valuable Anymore?,
186273397.the-glossary-of-technical-data,2026-01-30T05:19:37.386Z,true,2026-01-30T05:19:37.597Z,2026-01-30T05:19:37.597Z,newsletter,everyone,The Glossary Of Technical Data,"Everything I collect in my screens, everyday, with the magic of Python and cron",
185799323.the-screens,,false,,,newsletter,only_paid,,,
185667325.first-live-pretend-im-a-fancy-title,2026-01-25T20:13:35.429Z,true,2026-01-25T20:13:35.707Z,2026-01-25T20:13:35.707Z,podcast,everyone,"First Live, Pretend I'm a Fancy Title! w/Freeballer",A recording from mphinance's live video,
185650135.institutional-trading-styles,2026-01-24T17:45:37.195Z,true,2026-01-24T17:45:37.351Z,2026-01-24T17:45:37.351Z,newsletter,everyone,Institutional Trading Styles,Examining Institutions and their styles,
185489562.window-zero-your-ai-assistant-for,2026-01-23T03:25:01.149Z,true,2026-01-23T03:25:01.313Z,2026-01-23T03:25:01.313Z,newsletter,everyone,"WINDOW ZERO - Your AI Assistant for ""Meta Prompting""",I always use one AI to program the next one. Here's a free tool to turn your vague ideas into perfect prompts.,
185347516.my-strategy-to-rule-the-galaxy,2026-01-21T21:35:18.186Z,true,2026-01-21T21:35:18.552Z,2026-01-21T21:35:18.552Z,newsletter,everyone,MY STRATEGY TO RULE THE GALAXY,Galaxy Digital added to the Phund yesterday - a little revisit,
185116156.is-amkor-the-ai-wrapper-we-have-been,2026-01-19T22:09:14.522Z,true,2026-01-19T22:09:14.806Z,2026-01-19T22:09:14.806Z,newsletter,only_paid,"Is Amkor the AI ""Wrapper"" We Have Been Waiting For? - Momentum Phund Phriday Purchase","The Unsung Hero of the AI ""Unboxing"" Experience",
184655482.the-momentum-phinance-interactive,2026-01-15T13:43:58.612Z,true,2026-01-15T13:43:58.782Z,2026-01-15T13:43:58.782Z,newsletter,only_paid,THE MOMENTUM PHINANCE INTERACTIVE ARCHIVE,All my writing and post history wrapped up into one LLM,
184460573.tactical-swing-idea-fnb-corporation,2026-01-13T18:04:49.512Z,true,2026-01-13T18:04:49.698Z,2026-01-13T18:04:49.698Z,newsletter,everyone,Tactical Swing Idea: F.N.B. Corporation (FNB) – Catching the Bounce in a Bullish Trend,"Date: January 13, 2026
Ticker: $FNB
Current Price: $17.20
Sector: Regional Banks",
184325912.locking-in-profits-with-stop-losses,2026-01-12T15:50:49.259Z,true,2026-01-12T15:50:49.425Z,2026-01-12T15:50:49.425Z,newsletter,everyone,LOCKING IN PROFITS WITH STOP LOSSES,Keeping our $BABW profits with stop losses,
184319684.momentum-phund-selling-first-cash,2026-01-12T14:52:22.814Z,true,2026-01-12T14:52:22.993Z,2026-01-12T14:52:22.993Z,newsletter,everyone,MOMENTUM PHUND SELLING FIRST CASH SECURED PUT,Selling Puts for income on Richtech Robotics,
184227315.parallel-processing-my-feelings-about,2026-01-11T17:49:54.136Z,true,2026-01-11T17:49:54.375Z,2026-01-11T17:49:54.375Z,newsletter,only_paid,Parallel Processing My Feelings About NVDA,Exploring $NVDA with NotebookLM and why Less is More,
184087050.direct-dispatch-to-the-grandfather,2026-01-10T02:14:38.850Z,true,2026-01-10T02:14:39.110Z,2026-01-10T02:14:39.110Z,newsletter,everyone,Direct Dispatch to the Grandfather of Drones,Why Your Son @Drone_Daddy Is A Hero,
183982614.content-warning-feelings-ahead,2026-01-09T03:19:26.995Z,true,2026-01-09T03:19:27.160Z,2026-01-09T03:19:27.160Z,newsletter,everyone,CONTENT WARNING: FEELINGS AHEAD,No Tickers. No Charts. Feelings Ahead.,
183662406.the-greatest-trade-i-ever-made,2026-01-06T12:18:11.474Z,true,2026-01-06T12:18:11.688Z,2026-01-06T12:18:11.688Z,newsletter,everyone,THE GREATEST TRADE I EVER MADE,Why I’m Trading the Mask for Reality,
183345606.the-nasdaq-income-evolution,2026-01-03T14:42:01.561Z,true,2026-01-03T14:42:01.833Z,2026-01-03T14:42:01.833Z,newsletter,everyone,THE NASDAQ INCOME EVOLUTION,From QYLD to QQQI and the 0DTE Wild West,
183169247.the-silicon-seven,2026-01-01T19:44:07.088Z,true,2026-01-01T19:44:07.286Z,2026-01-01T19:44:07.286Z,newsletter,everyone,THE SILICON SEVEN,A Complete Guide to the Semiconductor Supercycle,
183164150.outfitting-an-urbn-trade,2026-01-01T19:00:06.317Z,true,2026-01-01T19:00:06.482Z,2026-01-01T19:00:06.482Z,newsletter,everyone,OUTFITTING AN $URBN TRADE,"$URBN is demonstrating significant relative strength, and looks ready for entry",
183082875.ultimate-stacked-bulls-screener,2025-12-31T19:34:07.927Z,true,2025-12-31T19:34:08.158Z,2025-12-31T19:34:08.158Z,newsletter,only_paid,ULTIMATE STACKED BULLS SCREENER,Complete Structure Trend Alignment On All Timeframes,
183001313.the-wiqs-methodology-a-comprehensive,2025-12-30T22:10:02.022Z,true,2025-12-30T22:10:02.272Z,2025-12-30T22:10:02.272Z,newsletter,only_paid,THE WIQS METHODOLOGY: A COMPREHENSIVE GUIDE TO HIGH-YIELD AUDITING,INTRODUCTION TO WIQS: WHY YOUR YIELD IS LYING TO YOU,
182816288.the-robotics-gold-rush,2025-12-29T00:25:00.728Z,true,2025-12-29T00:25:00.886Z,2025-12-29T00:25:00.886Z,newsletter,only_paid,THE ROBOTICS GOLD RUSH,"Sorting the ""Moonshots"" from the ""Money-Makers""",
182782362.give-me-a-lever-and-a-call-option,2025-12-28T17:05:24.085Z,true,2025-12-28T17:05:24.230Z,2025-12-28T17:05:24.230Z,newsletter,everyone,GIVE ME A LEVER AND A CALL OPTION,Exploring Leverage of Options with $HOOD Share Exposure vs. LEAPS,
